sentiment,id,text
0,1467810369,"awww, সেইটো এটা বামাৰ। আপুনি তৃতীয় দিনৰ ডেভিদ কাৰ্ক ইয়াক কৰিবলৈ পোৱা উচিত। ঘ"
0,1467810672,তেখেতে ফেচবুকটো মেছেজ কৰি আপডেট কৰিব নোৱাৰে বুলি বিচলিত হৈছে... আৰু আজিও স্কুলৰ ফলত কান্দিব পাৰে। ব্লা!
0,1467810917,মই বলৰ বাবে বহুবাৰ ডাইভ কৰিলোঁ। ৫০ ৰান কৰিবলৈ সক্ষম হয় বাকীবোৰ বাউণ্ডেৰীৰ বাহিৰলৈ যায়
0,1467811184,মোৰ গোটেই শৰীৰটোৱে খজুৱতি অনুভৱ কৰে আৰু ইয়াৰ জুই জ্বলি থকা যেন লাগে
0,1467811193,"নাই, ই একেবাৰেই আচৰণ কৰা নাই। মই পাগল হৈ পৰিছো। মই ইয়াত কিয় আছো? কাৰণ মই তোমাক তাত গোটেইখিনি দেখা নাপাওঁ।"
0,1467811372,গোটেই ক্ৰুটো নহয়
0,1467811592,আলিংগনৰ প্ৰয়োজন
0,1467811594,"হে লং টাইম ন' ছি! হয়.. অলপ বৰষুণ হয় ,মাত্ৰ অলপ lol , মই ভালেই আছো ধন্যবাদ , কেনে আছে ?"
0,1467811795,nope তেওঁলোকৰ নাছিল
0,1467812025,যে মই মৰি যাওঁ?
0,1467812416,প্লেইন চহৰত বসন্ত বিৰতি... বৰফ পৰিছে
0,1467812579,মই মাত্ৰ মোৰ কাণ দুখন পুনৰ বিন্ধিলোঁ
0,1467812723,মই ইয়াক চাবলৈ সহ্য কৰিব নোৱাৰিলোঁ। আৰু মই ভাবিছিলো যে ua ক্ষতি লজ্জাজনক আছিল। . . . .
0,1467812771,"'এইটো যথেষ্ট, idk মই কিয় কৰিলোঁ। তুমি মোৰ লগত আৰু কেতিয়াও কথা নাপাতো"
0,1467812784,"মই প্ৰথম হ'লোহেঁতেন, কিন্তু মোৰ হাতত বন্দুক নাছিল। যদিও সঁচাকৈয়ে নহয়, zac snyder's মাত্ৰ এজন doucheclown."
0,1467812799,আপোনাৰ লগত চাবলৈ পোৱা হ'লে ভাল আছিল!! মই আপোনাক মিছ কৰিছো আৰু iamlilnicki প্ৰিমিয়াৰ কেনেকৈ আছিল?!
0,1467812964,hollis ৰ মৃত্যুৰ দৃশ্যই মোক বহুত আঘাত দিব ছবিত চালে wry is directors cut not out now?
0,1467813137,কৰ দাখিল কৰিবলৈ ওলাইছে
0,1467813579,'আহহ আইভ' সদায় ভাড়াৰ চাউণ্ডট্ৰেক ভাল পোৱা চাব বিচাৰিছিলো!!
0,1467813782,অ’ প্ৰিয়। আপুনি পাহৰি যোৱা টেবুলৰ পানীয়বোৰৰ পৰা ওলাই আহিছিল নেকি?
0,1467813985,মই দিনটোৰ বেছিভাগ সময় বাহিৰত আছিলো গতিকে বেছি কাম নাপালোঁ
0,1467813992,"মোৰ এজন বন্ধুৱে মোক ফোন কৰিলে, আৰু আজি মিড ভেলীত তাইক লগ কৰিবলৈ ক'লে...কিন্তু মোৰ সময় নাই হুমুনিয়াহ কাঢ়ি"
0,1467814119,মই তোমাক এটা কেক বনাইছিলো কিন্তু মই খাইছিলো
0,1467814180,এই সপ্তাহটো মই আশা কৰা ধৰণে নহয়
0,1467814192,কাইলৈ ​​৮ বজাত blagh class
0,1467814438,মই ঘৃণা কৰো যেতিয়া মই ফোন কৰি মানুহক জগাই দিবলগীয়া হয়
0,1467814783,মাত্ৰ মাৰ্লি আৰু মোক চাই নিজেই শুবলৈ কান্দিবলৈ ওলাইছো।
0,1467814883,'আমি দুখী এতিয়া miss.lilly
0,1467815199,ooooh.... lol that leslie.... আৰু ঠিক আছে মই আৰু নকৰো গতিকে leslie আকৌ উন্মাদ নহয়
0,1467815753,meh... প্ৰায় প্ৰেমিক ব্যতিক্ৰম... এই ট্ৰেকটোৱে মোক প্ৰতিবাৰেই হতাশ কৰি তোলে।
0,1467815923,some1 এ মোৰ একাউণ্ট হেক কৰিলে aim ত এতিয়া মই এটা নতুন বনাব লাগিব
0,1467815924,মই গিয়াৰ আৰু খাঁজৰ প্ৰচাৰ কৰিবলৈ যাব বিচাৰো কিন্তু দুৰ্ভাগ্যজনকভাৱে তাত কোনো ৰাইড নাই মই যদিও মে' মাহত আনাহাইমৰ এটালৈ যাম
0,1467815988,কাইলৈ ​​শুই থকাটো এটা বিকল্প বুলি ভাবিছিল কিন্তু এতিয়া যে নহয় সেই কথা উপলব্ধি কৰিছিল। ৰাতিপুৱা মূল্যায়ন আৰু দুপৰীয়া কাম!
